layer,head,ratio3,keptfrac3,thr4x,medimp
0,0,0.983,1.0,17,24
0,1,0.983,1.0,17,82
0,2,0.983,1.0,17,17
0,3,0.998,0.9851,17,106
0,4,0.993,0.99,17,65
0,5,1.023,0.9602,17,37
0,6,0.983,1.0,17,29
0,7,0.983,1.0,17,38
0,8,0.983,1.0,17,17
0,9,0.983,1.0,17,11
0,10,0.985,0.9975,17,20
0,11,2.043,0.4801,17,2
1,0,1.869,0.5249,5,3
1,1,2.772,0.3532,4,2
1,2,1.076,0.9129,12,8
1,3,0.99,0.9925,17,16
1,4,21.071,0.0448,2,0
1,5,1.145,0.8582,15,6
1,6,1.1,0.893,13,6
1,7,16.642,0.0572,1,0
1,8,1.462,0.6716,10,4
1,9,0.99,0.9925,17,19
1,10,0.983,1.0,17,17
1,11,17.372,0.0547,2,1
2,0,5.592,0.1741,3,0
2,1,4.84,0.2015,3,1
2,2,10.476,0.092,2,0
2,3,3.224,0.3035,4,1
2,4,13.289,0.0721,2,0
2,5,9.949,0.097,2,0
2,6,22.256,0.0423,1,0
2,7,1.809,0.5423,5,3
2,8,6.205,0.1567,3,1
2,9,11.061,0.0871,2,0
2,10,12.073,0.0796,2,0
2,11,0.983,1.0,17,128
3,0,19.044,0.0498,2,0
3,1,10.476,0.092,2,0
3,2,22.256,0.0423,1,0
3,3,22.256,0.0423,1,0
3,4,21.071,0.0448,1,0
3,5,12.453,0.0771,2,0
3,6,21.071,0.0448,2,0
3,7,22.256,0.0423,1,0
3,8,17.372,0.0547,2,0
3,9,17.372,0.0547,1,0
3,10,22.256,0.0423,1,0
3,11,19.044,0.0498,1,0
4,0,8.283,0.1169,2,0
4,1,21.071,0.0448,1,0
4,2,7.499,0.1294,2,0
4,3,12.073,0.0796,2,1
4,4,20.006,0.0473,1,0
4,5,22.256,0.0423,1,0
4,6,18.169,0.0522,1,0
4,7,21.071,0.0448,2,0
4,8,12.858,0.0746,2,0
4,9,20.006,0.0473,1,0
4,10,22.256,0.0423,1,0
4,11,8.645,0.1119,2,0
5,0,2.097,0.4677,6,2
5,1,15.351,0.0622,1,0
5,2,13.751,0.0697,1,0
5,3,21.071,0.0448,1,0
5,4,9.949,0.097,2,0
5,5,17.372,0.0547,1,0
5,6,17.372,0.0547,1,0
5,7,14.778,0.0647,1,0
5,8,1.005,0.9776,17,23
5,9,20.006,0.0473,1,0
5,10,10.476,0.092,2,0
5,11,4.724,0.2065,3,1
