policy,kept_fraction,kept_tokens,ppl
h2o,1.0,402,59.421
h2o,0.75,302,62.0655
h2o,0.5,201,66.0962
h2o,0.3,121,91.9227
h2o,0.2,80,148.7232
h2o,0.1,40,183.7839
h2o,0.05,20,238.1161
recency,1.0,402,59.421
recency,0.75,302,120.1836
recency,0.5,201,293.6323
recency,0.3,121,778.4842
recency,0.2,80,1242.6997
recency,0.1,40,2082.8628
recency,0.05,20,2914.1586
random,1.0,402,59.421
random,0.75,302,62.2419
random,0.5,201,193.4442
random,0.3,121,490.637
random,0.2,80,975.924
random,0.1,40,1545.1046
random,0.05,20,2127.5389
